Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Los Angeles Public Library - Exposition Park - Dr. Mary McLeod Bethune Regional Library,3900 S. Western Ave,Los Angeles,CA,90062,(323) 290-3113,"Mon: 10-8, Tue: 10-8, Wed: 10-8, Thu: 10-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: 1-5",https://www.lapl.org/branches/exposition-park,Alberto Alvarez,Branch Manager,expopk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Fairfax Branch Library,161 S. Gardner Street,Los Angeles,CA,90036,(323) 936-6191,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/fairfax,Jennifer Ham,Branch Manager,fairfx@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Felipe de Neve Branch Library,2820 W. 6th Street,Los Angeles,CA,90057,(213) 384-7676,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/felipe-de-neve,Cathie Ehle,Branch Manager,felipe@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Frances Howard Goldwyn - Hollywood Regional Library,1623 N. Ivar Avenue,Los Angeles,CA,90028,(323) 856-8260,"Mon: 10-8, Tue: 10-8, Wed: 10-8, Thu: 10-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: 1-5",https://www.lapl.org/branches/hollywood,Benjamin Naderi,Branch Manager,holywd@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Granada Hills Branch Library,10640 Petit Avenue,Granada Hills,CA,91344,(818) 368-5687,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/granada-hills,Pam Rhodes,Branch Manager,grnhls@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Harbor City - Harbor Gateway Branch Library,24000 S. Western,Harbor City,CA,90710,(310) 534-9520,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/harbor-city,John Pham,Branch Manager,harbor@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Hyde Park Miriam Matthews Branch Library,2205 W. Florence Avenue,Los Angeles,CA,90043,(323) 750-7241,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/hyde-park,Justin Sugiyama,Branch Manager,hydepk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Jefferson - Vassie D. Wright Memorial Branch Library,2211 W. Jefferson Boulevard,Los Angeles,CA,90018,(323) 734-8573,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/jefferson,Karla Valdez,Branch Manager,jfrson@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - John C. Fremont Branch Library,6121 Melrose Avenue,Los Angeles,CA,90038,(323) 962-3521,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/john-c-fremont,Kim Hughes,Branch Manager,jcfrmt@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - John Muir Branch Library,1005 W. 64th Street,Los Angeles,CA,90044,(323) 789-4800,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/john-muir,Corinda Humphrey,Branch Manager,jnmuir@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Junipero Serra Branch Library,4607 S. Main Street,Los Angeles,CA,90037,(323) 234-1685,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/junipero-serra,Daisy Pulido,Branch Manager,jserra@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Lake View Terrace Branch Library,12002 Osborne Street,Lake View Terrace,CA,91342,(818) 890-7404,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/lake-view-terrace,Kelli Lowers,Branch Manager,lkview@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Lincoln Heights Branch Library,2530 Workman Street,Los Angeles,CA,90031,(323) 226-1692,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/lincoln-heights,Angelina Garcia,Branch Manager,lcnhts@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Little Tokyo Branch Library,203 S. Los Angeles Street,Los Angeles,CA,90012,(213) 612-0525,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/little-tokyo,Jim Sherod,Branch Manager,ltokyo@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Los Feliz Branch Library,1874 Hillhurst Avenue,Los Angeles,CA,90027,(323) 913-4710,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/los-feliz,Pearl Yonezawa,Branch Manager,lfeliz@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Malabar Branch Library,2801 Wabash Avenue,Los Angeles,CA,90033,(323) 263-1497,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/malabar,Lupie Leyva,Branch Manager,mlabar@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Mar Vista Branch Library,12006 Venice Boulevard,Los Angeles,CA,90066,(310) 390-3454,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/mar-vista,Carole Kealoha,Branch Manager,mrvsta@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Mark Twain Branch Library,9621 S. Figueroa Street,Los Angeles,CA,90003,(323) 755-4088,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/mark-twain,Senele Rios,Branch Manager,mtwain@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Memorial Branch Library,4625 W. Olympic Boulevard,Los Angeles,CA,90019,(323) 938-2732,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/memorial,Loren Spector,Branch Manager,mmrial@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
