Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Los Angeles County Parks and Recreation Department,1000 S. Fremont Avenue,Alhambra,CA,91803,'+16265885150,https://parks.lacounty.gov/,Moises Evangelista,Information Technology Business Analyst I,mevangelista@parks.lacounty.gov,Los Angeles County Parks and Recreation Department,,"Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi",,,,In-Person,,Varies,Varies,,Varies,https://parks.lacounty.gov/,Varies,Varies,,Varies,https://parks.lacounty.gov/,Varies,Varies,,Varies,https://parks.lacounty.gov/,Varies,Varies,,Varies,https://parks.lacounty.gov/,Varies,Varies,,Varies,https://parks.lacounty.gov/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,12/18/2025 11:23
tribalresourcecenter.net,45120 El Ranchito Rd,Aguanga,CA,92536,'+16513566266,https://tribalresourcecenter.net,Matthew Rantanen,Lead,matt@waskawiwin.org,tribalresourcecenter.net,,"Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",Other,,,Virtually,https://tribalresourcecenter.net,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Other",English,Information sharing,No. Our services are offered free of cost.,12/18/2025 10:17
Waskawiwin,45120 El Ranchito Rd,Aguanga,CA,92536,'+16513566266,https://waskawiwin.org,Matthew Rantanen,President/CEO,matt@waskawiwin.org,Waskawiwin,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Workforce development resources",Specific to a Tribe or available to multiple Tribes,,,In-Person,,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.",,'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.",,'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.",,'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.",,'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.",,'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,No. Our services are offered free of cost.,"Yes, Other",English,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/2025 9:54
Self-Help for the Elderly,"731 Sansome Street, Suite 100",San Francisco,CA,94111-1725,'+14156777600,https://www.selfhelpelderly.org/,Winnie Yu,Chief Programs Officer,winniey@selfhelpelderly.org,Self-Help for the Elderly,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Francisco,,Virtually,https://www.selfhelpelderly.org/our-services/digitallearning,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Russian",,No. Our services are offered free of cost.,12/17/2025 20:49
Self-Help for the Elderly,"731 Sansome Street, Suite 100",San Francisco,CA,94111-1725,+14156777529,https://www.selfhelpelderly.org/,Jin Tran,SF Connected/ Digital Literacy Program,jint@selfhelpelderly.org,Self-Help for the Elderly,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Francisco,,In-Person,,,,,"Monday to Friday, 9:00 AM TO 4:00 PM",,,,,"Monday to Friday, 9:00 AM TO 4:00 PM",,,,,"Monday to Friday, 9:00 AM TO 4:00 PM",,,,,"Monday to Friday, 9:00 AM TO 4:00 PM",,,,,"Monday to Friday, 9:00 AM TO 4:00 PM",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Russian",,No. Our services are offered free of cost.,12/17/2025 20:49
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Felton Institute,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,San Francisco,,In-Person,,Visitacion Community Center,San Francisco,,"Wed. 11-2pm, Thursday, 9:30-11:30am",,Visitacion Community Center,San Francisco,,"Wed. 11-2pm, Thursday, 9:30-11:30am",,Visitacion Community Center,San Francisco,,"Wed. 11-2pm, Thursday, 9:30-11:30am",,Visitacion Community Center,San Francisco,,"Wed. 11-2pm, Thursday, 9:30-11:30am",,Visitacion Community Center,San Francisco,,"Wed. 11-2pm, Thursday, 9:30-11:30am",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/2025 16:59
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Felton Institute,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,San Francisco,,In-Person,,,San Francisco,,"THursday, 12-2pm",,,San Francisco,,"THursday, 12-2pm",,,San Francisco,,"THursday, 12-2pm",,,San Francisco,,"THursday, 12-2pm",,,San Francisco,,"THursday, 12-2pm",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/2025 16:59
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Felton Institute,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,San Francisco,,In-Person,,,San Francisco,,"Tuesday, 12:30-2pm",,,San Francisco,,"Tuesday, 12:30-2pm",,,San Francisco,,"Tuesday, 12:30-2pm",,,San Francisco,,"Tuesday, 12:30-2pm",,,San Francisco,,"Tuesday, 12:30-2pm",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/2025 16:59
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Felton Institute,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,San Francisco,,In-Person,,,San Francisco,,Monday/Wednesday 9:00-10:30AM,,,San Francisco,,Monday/Wednesday 9:00-10:30AM,,,San Francisco,,Monday/Wednesday 9:00-10:30AM,,,San Francisco,,Monday/Wednesday 9:00-10:30AM,,,San Francisco,,Monday/Wednesday 9:00-10:30AM,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/2025 16:59
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Felton Institute,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,San Francisco,,In-Person,,,San Francisco,,"Monday, 11-1pm, Tuesday, 3-5pm",,,San Francisco,,"Monday, 11-1pm, Tuesday, 3-5pm",,,San Francisco,,"Monday, 11-1pm, Tuesday, 3-5pm",,,San Francisco,,"Monday, 11-1pm, Tuesday, 3-5pm",,,San Francisco,,"Monday, 11-1pm, Tuesday, 3-5pm",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/2025 16:59
Los Angeles County Department of Parks and Recreation,1000 South Fremont,Alhambra,CA,91803,'+16266813030,https://parks.lacounty.gov,Terence Davsi,CIO,tadavis@parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Los Angeles,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin",,No. Our services are offered free of cost.,12/17/2025 16:43
City of Lynwood,11330 Bullis Rd.,Lynwood,CA,90262,'+13106030220,https://lynwoodca.gov,Ruben Landeros,Systems Analyst,rlanderos@lynwoodca.gov,City of Lynwood,,"Public Wi-Fi, Computer center(s)",City-wide or across multiple cities,Los Angeles,,In-Person,,,Lynwood,,7am to 6pm Mon-Thurs,https://lynwoodca.gov,,Lynwood,,7am to 6pm Mon-Thurs,https://lynwoodca.gov,,Lynwood,,7am to 6pm Mon-Thurs,https://lynwoodca.gov,,Lynwood,,7am to 6pm Mon-Thurs,https://lynwoodca.gov,,Lynwood,,7am to 6pm Mon-Thurs,https://lynwoodca.gov,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",,No. Our services are offered free of cost.,12/17/2025 15:56
Kollab Youth Workforce Development Program,"578 Washington Blvd., #199",MARINA DEL REY,CA,90292,'+13103032869,https://kollabYouth.org,Mary Hewitt,"CEO, Founder",mhewitt@kollabyouth.org,Kollab Youth Workforce Development Program,,"Locating low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources, Workforce development resources",County-wide or across multiple counties,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Ventura",,Virtually,https://kollabyouth.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Ethnic or Minority Communities, Rural Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/17/2025 15:46
Binational of Central California,3302 N Blackstone Ave. Suite 221,Fresno,CA,93726,'+15599054549,https://binationalca.org/,Aracely Contreras,Program Manager,aracely@binationalca.org,Binational of Central California,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Workforce development resources",County-wide or across multiple counties,"Fresno, Madera, Merced",,In-Person,,,,'+15599054549,9am - 5pm,,,,'+15599054549,9am - 5pm,,,,'+15599054549,9am - 5pm,,,,'+15599054549,9am - 5pm,,,,'+15599054549,9am - 5pm,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,12/17/2025 13:38
MNC INSPIRING SUCCESS,362 CAPP STREET,SAN FRANCISCO,CA,94110,'+14152067750,https://WWW.MNCSF.ORG,JOANA MATTERO,ASSOCIATE DIRECTOR,joana.mattero@mncsf.org,MNC INSPIRING SUCCESS,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Computer center(s)",Specific public or affordable housing development/building,,,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",Collective action,No. Our services are offered free of cost.,12/17/2025 11:10
MNC INSPIRING SUCCESS,362 CAPP STREET,SAN FRANCISCO,CA,94110,'+14152067750,https://WWW.MNCSF.ORG,JOANA MATTERO,ASSOCIATE DIRECTOR,joana.mattero@mncsf.org,MNC INSPIRING SUCCESS,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Computer center(s)",Specific public or affordable housing development/building,,,In-Person,,,,'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,,,'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,,,'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,,,'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,,,'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",Collective action,No. Our services are offered free of cost.,12/17/2025 11:10
